,neighbourhood_cleansed,accommodates,property_type,room_type,bathrooms,bedrooms,beds,price,guests_included,extra_people,security_deposit,availability_365,cancellation_policy,new_Hairdryer,new_Kitchen,new_Laptopfriendlyworkspace,new_Indoorfireplace,new_Hottub,new_baby_friendly,new_Iron,new_TV,new_family
68,Oud-Oost,2,Other,Entire home/apt,1.0,1.0,1.0,100,2,10,0,0,strict,0,1,0,0,0,0,0,0,1
69,De Pijp - Rivierenbuurt,2,Apartment,Private room,1.0,1.0,1.0,80,1,0,0,0,strict,0,1,0,0,0,0,0,1,0
71,Oostelijk Havengebied - Indische Buurt,3,Apartment,Entire home/apt,1.0,2.0,2.0,98,2,22,1,18,strict,1,1,1,0,0,0,1,1,1
72,Gaasperdam - Driemond,4,Apartment,Private room,1.0,1.0,2.0,35,1,20,0,125,strict,1,1,1,0,0,0,1,1,1
73,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,52,1,0,0,0,flexible,0,1,0,0,0,0,0,0,0
74,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,1.0,2.0,100,2,24,1,89,strict,1,1,0,0,0,0,1,0,1
75,Bos en Lommer,2,Apartment,Private room,1.0,1.0,1.0,89,2,0,1,3,moderate,1,1,1,0,0,1,0,1,1
77,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,145,1,0,0,309,strict,0,1,1,0,0,0,1,1,1
78,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,2.0,3.0,74,1,15,1,0,moderate,1,1,1,0,0,0,1,1,1
79,Centrum-West,2,Other,Private room,1.0,1.0,1.0,120,1,20,0,85,moderate,1,0,1,0,0,0,1,0,0
81,Centrum-West,2,Apartment,Entire home/apt,2.0,1.0,1.0,145,1,0,1,57,strict,1,1,0,0,0,0,1,0,0
82,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,1.0,2.0,3.0,120,2,20,1,0,moderate,1,1,1,0,1,0,1,1,1
83,De Baarsjes - Oud-West,6,Apartment,Entire home/apt,1.0,3.0,3.0,89,1,49,1,338,strict,1,1,0,0,0,0,1,1,1
84,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,100,2,35,1,0,moderate,1,1,1,0,0,1,1,1,1
87,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,50,1,10,1,19,moderate,1,1,1,0,0,0,1,0,0
88,Centrum-West,4,Bed and breakfast,Private room,1.0,1.0,4.0,160,2,25,0,268,moderate,1,1,1,0,0,1,1,1,1
89,Westerpark,3,Apartment,Entire home/apt,1.0,1.0,2.0,110,2,35,1,51,moderate,0,1,0,0,0,0,0,1,1
90,Zuid,3,Apartment,Entire home/apt,1.0,2.0,2.0,150,1,0,1,5,strict,0,1,0,0,0,0,0,1,1
91,Centrum-Oost,2,Loft,Private room,1.0,1.0,1.0,95,1,0,0,187,moderate,1,0,1,0,0,0,1,1,0
92,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,1,0,1,0,strict,0,1,0,0,0,0,0,1,0
93,Westerpark,3,Apartment,Entire home/apt,1.0,1.0,2.0,99,2,49,1,0,strict,1,1,1,0,0,0,1,1,0
94,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,2.0,79,1,21,1,28,strict,1,1,1,0,0,0,1,0,1
95,Centrum-West,3,Apartment,Entire home/apt,1.0,1.0,2.0,80,2,45,1,165,strict,1,1,1,0,0,0,1,1,1
97,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,2,0,1,0,moderate,1,1,0,0,1,1,1,1,1
98,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,1,0,0,0,flexible,0,1,0,0,0,0,0,0,0
99,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,2.0,2.0,3.0,180,1,0,0,334,strict,1,1,1,0,0,1,1,1,1
100,Zuid,2,Apartment,Private room,1.0,1.0,1.0,129,1,0,1,365,strict,1,1,1,0,0,0,1,1,0
101,Centrum-West,3,Apartment,Private room,1.0,1.0,2.0,114,2,50,0,163,moderate,1,0,0,0,1,0,0,1,0
102,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,2.0,3.0,150,1,50,1,352,moderate,1,1,1,0,1,1,1,1,1
104,De Baarsjes - Oud-West,4,Houseboat,Entire home/apt,1.0,2.0,2.0,170,2,25,1,237,strict,1,1,1,0,0,0,1,1,1
105,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,2.0,100,2,15,1,8,flexible,1,1,1,0,0,0,1,1,0
106,De Baarsjes - Oud-West,4,Apartment,Private room,1.0,1.0,2.0,165,4,20,1,35,moderate,1,1,1,0,0,0,1,1,1
107,Centrum-West,4,Condominium,Entire home/apt,1.0,2.0,2.0,125,2,10,0,0,strict,1,1,1,0,0,0,0,1,0
108,Centrum-West,2,Apartment,Entire home/apt,2.0,1.0,1.0,175,2,0,1,0,strict,1,1,1,0,0,0,1,1,1
109,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,1.0,2.0,100,2,30,1,114,strict,1,1,1,0,0,0,1,1,1
110,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,80,1,0,1,0,strict,0,1,0,0,0,0,0,0,0
111,De Baarsjes - Oud-West,2,House,Private room,1.0,1.0,1.0,86,2,0,0,6,flexible,1,1,1,0,0,0,1,1,1
113,De Baarsjes - Oud-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,119,2,30,0,250,moderate,1,1,1,0,1,1,1,1,1
114,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,2.0,2.0,120,2,20,1,0,strict,1,1,1,1,1,1,1,1,1
115,Oostelijk Havengebied - Indische Buurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,70,2,0,1,0,strict,1,1,0,0,0,0,0,0,0
117,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,175,2,10,1,1,strict,1,1,1,0,1,0,1,1,0
118,Centrum-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,149,1,0,1,187,strict,1,0,1,0,0,0,1,1,0
119,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,193,2,0,0,0,moderate,1,1,1,0,1,0,1,1,1
120,Centrum-Oost,2,Bed and breakfast,Private room,1.0,1.0,1.0,145,1,0,0,306,strict,1,1,1,1,0,1,1,1,1
122,De Pijp - Rivierenbuurt,2,Bed and breakfast,Private room,1.0,1.0,1.0,115,2,25,1,99,strict,1,1,1,0,0,0,1,1,0
123,Centrum-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,188,2,28,0,362,strict,1,0,1,0,0,0,1,1,0
124,De Pijp - Rivierenbuurt,4,Apartment,Private room,1.0,2.0,4.0,150,2,35,1,102,strict,1,0,1,0,0,0,1,1,1
125,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,1,0,1,0,moderate,1,1,1,0,0,0,1,1,0
126,De Baarsjes - Oud-West,5,Apartment,Entire home/apt,2.0,4.0,6.0,168,4,20,0,14,strict,1,1,1,0,1,1,1,1,1
128,Oud-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,2,0,1,0,moderate,1,1,1,0,0,0,1,0,1
130,Oostelijk Havengebied - Indische Buurt,2,Apartment,Entire home/apt,1.0,1.0,2.0,73,2,10,1,0,moderate,1,1,1,0,0,1,1,1,1
131,Zuid,2,Apartment,Private room,1.0,1.0,1.0,96,2,0,1,62,strict,1,1,1,0,0,0,1,1,0
132,Centrum-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,190,1,0,1,90,strict,1,1,1,0,0,1,1,1,0
133,Noord-Oost,4,Apartment,Entire home/apt,1.0,1.0,4.0,100,2,25,1,351,strict,0,1,0,0,0,0,0,1,1
134,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,2.0,1.0,1.0,85,2,35,1,16,strict,0,1,1,0,0,1,1,1,1
135,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,2.0,125,2,35,0,293,moderate,1,1,0,0,0,0,0,1,0
137,Centrum-West,4,Bed and breakfast,Private room,1.0,1.0,2.0,110,2,25,0,182,moderate,1,0,1,0,0,1,1,1,1
138,Zuid,2,Apartment,Entire home/apt,1.0,1.0,1.0,120,2,20,1,0,strict,0,1,1,0,0,0,1,0,0
139,Bos en Lommer,2,Condominium,Entire home/apt,1.0,1.0,1.0,125,2,0,1,30,moderate,1,1,1,0,0,0,1,0,0
140,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,169,2,75,1,364,strict,1,1,1,0,0,0,1,1,1
141,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,125,2,15,0,0,strict,0,1,1,0,1,0,1,0,0
142,De Baarsjes - Oud-West,3,Townhouse,Private room,1.0,2.0,2.0,74,1,79,1,80,moderate,1,1,1,0,0,0,1,1,0
143,Zuid,3,Apartment,Entire home/apt,2.0,2.0,3.0,115,2,10,0,0,strict,0,1,0,0,0,0,0,1,1
145,Centrum-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,105,2,10,1,319,strict,1,1,1,0,0,1,1,1,1
146,Centrum-Oost,2,Bed and breakfast,Private room,1.0,1.0,1.0,115,2,50,0,331,strict,0,0,0,0,0,0,0,1,1
147,Centrum-West,2,Apartment,Private room,1.0,1.0,1.0,150,1,0,0,274,strict,1,0,0,0,0,0,1,1,1
148,Centrum-West,2,Bed and breakfast,Private room,1.0,0.0,1.0,90,1,0,1,44,strict,1,1,1,0,0,0,0,1,0
149,Centrum-West,2,Apartment,Private room,1.0,1.0,1.0,150,1,0,0,287,strict,1,0,0,0,0,0,1,1,1
150,Watergraafsmeer,2,House,Private room,1.0,1.0,1.0,95,1,25,1,0,strict,1,0,1,0,0,0,1,1,0
151,Oud-Oost,2,Apartment,Private room,1.0,1.0,1.0,89,2,0,0,337,moderate,1,0,1,0,0,0,1,1,0
152,Oud-Noord,2,Apartment,Private room,1.0,1.0,1.0,105,2,40,1,338,strict,1,1,0,0,0,0,1,1,1
153,Oud-Noord,3,House,Entire home/apt,1.0,2.0,3.0,74,1,0,0,0,flexible,0,1,0,0,0,0,0,1,0
155,Centrum-Oost,4,Apartment,Entire home/apt,1.0,1.0,1.0,175,2,30,1,0,moderate,0,1,0,0,0,0,0,0,1
156,De Baarsjes - Oud-West,3,Townhouse,Entire home/apt,1.0,2.0,3.0,164,2,94,1,85,moderate,1,1,1,0,1,0,1,1,0
157,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,117,2,0,1,0,moderate,1,1,1,0,0,0,1,1,0
158,Oud-Oost,1,Apartment,Private room,0.0,1.0,1.0,45,1,15,1,74,strict,0,1,1,0,0,0,1,1,0
159,Centrum-West,4,Apartment,Entire home/apt,1.0,1.0,2.0,125,2,0,1,0,moderate,1,1,0,0,0,0,1,1,1
160,Centrum-West,5,Apartment,Entire home/apt,1.0,2.0,3.0,126,3,20,1,0,moderate,1,1,0,0,1,1,1,1,1
161,Centrum-West,3,Apartment,Entire home/apt,1.0,1.0,1.0,155,1,0,1,106,moderate,0,1,0,0,0,0,0,1,0
164,Centrum-Oost,4,Apartment,Entire home/apt,2.0,2.0,2.0,195,1,0,0,0,strict,1,1,1,0,0,0,1,1,1
165,Centrum-Oost,3,Apartment,Entire home/apt,2.0,2.0,2.0,130,2,60,1,67,strict,0,1,0,0,0,0,0,1,0
167,Centrum-Oost,2,Bed and breakfast,Private room,1.0,1.0,1.0,90,1,0,0,71,strict,0,1,0,0,0,0,0,0,0
168,Oud-Noord,2,Apartment,Private room,2.0,1.0,2.0,135,2,50,1,354,strict,1,1,1,0,0,0,1,1,1
169,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,169,2,0,1,0,strict,0,1,0,0,0,0,0,1,0
171,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,1,25,1,0,strict,1,1,1,0,0,0,1,1,0
172,Centrum-Oost,2,Bed and breakfast,Private room,1.0,1.0,1.0,115,2,50,0,333,strict,0,0,0,0,0,0,0,1,1
173,Oostelijk Havengebied - Indische Buurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,124,1,20,1,30,moderate,1,1,1,0,0,0,0,1,0
174,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,111,2,50,1,9,moderate,1,1,1,0,0,0,1,0,1
176,Oud-Oost,4,Apartment,Entire home/apt,2.0,2.0,2.0,107,2,30,1,166,moderate,0,1,0,0,0,0,0,1,1
177,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,1.0,2.0,169,2,25,1,139,moderate,1,1,1,0,0,1,1,1,1
178,Zuid,4,Apartment,Entire home/apt,1.0,2.0,2.0,88,2,20,1,0,flexible,1,1,0,0,0,0,1,0,1
179,Centrum-Oost,2,Apartment,Entire home/apt,1.0,0.0,1.0,80,1,0,0,0,strict,0,1,0,0,0,0,0,0,0
180,Zuid,4,Apartment,Entire home/apt,2.0,2.0,2.0,190,2,30,1,21,moderate,1,1,1,1,0,0,1,1,1
182,Centrum-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,175,2,50,1,1,flexible,0,1,1,0,0,0,1,1,1
183,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,140,2,0,0,65,moderate,1,1,1,0,0,0,1,1,0
184,Watergraafsmeer,2,Bed and breakfast,Private room,1.0,1.0,2.0,72,1,15,0,334,moderate,1,1,1,0,0,0,1,1,1
185,Oud-Oost,2,House,Private room,1.0,1.0,1.0,96,2,0,1,240,strict,1,1,0,0,0,0,0,0,1
186,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,2.0,2.0,169,2,30,1,0,moderate,1,1,1,0,1,1,1,0,1
187,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,129,1,0,1,5,strict,1,1,1,0,0,0,1,0,0
188,Oud-Oost,2,House,Private room,1.0,1.0,2.0,75,4,35,0,314,strict,1,0,0,0,0,0,0,0,1
190,Centrum-Oost,2,Apartment,Private room,2.0,1.0,2.0,120,1,0,0,3,strict,1,1,1,0,0,0,1,1,0
191,Westerpark,3,Apartment,Entire home/apt,1.0,1.0,1.0,100,2,15,0,0,strict,1,1,1,0,0,0,0,1,0
193,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,150,1,35,1,123,strict,0,1,1,0,0,0,0,1,0
194,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,1,0,1,1,moderate,1,1,1,0,0,0,0,1,0
196,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,80,1,20,1,14,moderate,1,1,1,0,0,0,1,1,1
197,Centrum-Oost,4,Apartment,Entire home/apt,1.0,2.0,4.0,129,2,60,1,316,strict,1,1,1,0,0,1,1,0,1
