name,neighbourhood_cleansed,accommodates,property_type,room_type,bathrooms,bedrooms,beds,price,latitude,longitude
Spacious home w roof garden,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,2.0,2.0,3.0,180,52.368947036604595,4.864515338244789
Amsterdam Apartment (waterview),Zuid,2,Apartment,Private room,1.0,1.0,1.0,129,52.35165078027672,4.8465334434469245
LUXURIOUS GUESTHOUSE in CITY CENTER,Centrum-West,3,Apartment,Private room,1.0,1.0,2.0,114,52.370688362374935,4.895157177391901
THE AMSTERDAM RAI EXPERIENCE / FREE PARKING / WIFI,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,2.0,3.0,150,52.33761522397163,4.893596487180915
Suite in Canalhouse with Jacuzzi ,Centrum-West,2,Guest suite,Entire home/apt,1.0,1.0,1.0,265,52.3689052504095,4.889704568580539
Cozy Houseboat - Central Amsterdam,De Baarsjes - Oud-West,4,Houseboat,Entire home/apt,1.0,2.0,2.0,170,52.36563714208943,4.876398386996833
Homely and tasteful apartment in Amsterdam,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,2.0,100,52.361098230898705,4.858935153103977
Great apartment in top neighborhood,De Baarsjes - Oud-West,4,Apartment,Private room,1.0,1.0,2.0,165,52.35957301118511,4.86589459094221
Jordaan apt with views of canals and Westerkerk,Centrum-West,4,Condominium,Entire home/apt,1.0,2.0,2.0,125,52.37591434666808,4.878066562935041
Modern stylish apartment,Centrum-West,2,Apartment,Entire home/apt,2.0,1.0,1.0,175,52.365736470109674,4.8802090220914405
Charming 1 BR apartment in museum district,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,1.0,2.0,100,52.35613973312535,4.88847575208638
Cozy & stylish near Jordan/Centre,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,80,52.3714933602559,4.862764028623305
Central location private attic room,De Baarsjes - Oud-West,2,House,Private room,1.0,1.0,1.0,86,52.364516655500545,4.875872996810312
"Bellavista, central,with canal view",De Baarsjes - Oud-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,119,52.36588424052564,4.872613822339188
Charming Full Option Amsterdam Apt,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,2.0,2.0,120,52.346035277702406,4.897093661068418
Modern studio near central AMS,Oostelijk Havengebied - Indische Buurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,70,52.36609902269462,4.932987129096548
Nice Amsterdam apt great location,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,175,52.36718586381298,4.867373589491419
Great room @ BEST location  + 2 bikes!,Centrum-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,149,52.367751656756,4.889815058128981
Luxury City Center Canal Apartment,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,193,52.37408073348525,4.897792585847227
The Flying Pancake B&B Amsterdam,Centrum-Oost,2,Bed and breakfast,Private room,1.0,1.0,1.0,145,52.36513246667161,4.908371799288464
Amazing apartment in city center,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,250,52.3713086974301,4.882063422033223
"Room with sauna, patio a study and a kitchenette",De Pijp - Rivierenbuurt,2,Bed and breakfast,Private room,1.0,1.0,1.0,115,52.356980877920925,4.890688061048634
Amsterdam B&B Barangay,Centrum-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,188,52.376827040334476,4.889139866845394
Stylish apartment with free carpark,De Pijp - Rivierenbuurt,4,Apartment,Private room,1.0,2.0,4.0,150,52.34425830623576,4.887220320280407
Central Amsterdam Apt,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,52.368351014921636,4.924069390070278
"Caracteristic, family apartment",De Baarsjes - Oud-West,5,Apartment,Entire home/apt,2.0,4.0,6.0,168,52.35941331459236,4.859953007578639
Lovely Bright Apartment in the East,Oud-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,52.3580919064273,4.935606229701712
Stylish family home with serre and garden!,Oud-Oost,4,Apartment,Entire home/apt,2.0,2.0,4.0,225,52.35605072558158,4.919385692227501
AirbnBABY! Family holiday made easy,Oostelijk Havengebied - Indische Buurt,2,Apartment,Entire home/apt,1.0,1.0,2.0,73,52.3616422185585,4.938273700070705
Charming Studio with Roof Terrace,Zuid,2,Apartment,Private room,1.0,1.0,1.0,96,52.35519127920091,4.851167699222689
Cozy apartment in top located canal,Centrum-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,190,52.37416858770747,4.8865013132855335
Lovely Charming House in Amsterdam!,Noord-Oost,4,Apartment,Entire home/apt,1.0,1.0,4.0,100,52.38333593144041,5.0037078895760665
"Private, central & luxurious apment",De Baarsjes - Oud-West,2,Apartment,Entire home/apt,2.0,1.0,1.0,85,52.360478436352,4.863450457840695
Bed&Café The place to be in AMS,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,2.0,125,52.361643337443546,4.9025822184962715
Quiet B&B in center of Amsterdam (Jordaan),Centrum-West,4,Bed and breakfast,Private room,1.0,1.0,2.0,110,52.37048754922962,4.879669027912172
"Luxury appartm, good neighbourhood",Zuid,2,Apartment,Entire home/apt,1.0,1.0,1.0,120,52.3463259409881,4.856285933979298
Cozy sleeping in popular Amsterdam West,Bos en Lommer,2,Condominium,Entire home/apt,1.0,1.0,1.0,125,52.37842980388138,4.854837092707593
Great loft: live the good life. Next to the RAI.,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,169,52.33921273616006,4.893759461764407
nice apartment in centre amsterdam,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,125,52.35829508439539,4.859091947726598
Luxury & quiet room 1 person,De Baarsjes - Oud-West,3,Townhouse,Private room,1.0,2.0,2.0,74,52.36599949646363,4.863530499078753
Your central home in wonderful AMS!,Zuid,3,Apartment,Entire home/apt,2.0,2.0,3.0,115,52.35017418763845,4.8525503850212495
Luxury in CITY-CENTRE!,Centrum-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,105,52.38057059973004,4.885651833945759
Excellent Room 3 centre Amsterdam,Centrum-Oost,2,Bed and breakfast,Private room,1.0,1.0,1.0,115,52.360092579387,4.894611813107176
"Center,Canal View, Private Bathroom",Centrum-West,2,Apartment,Private room,1.0,1.0,1.0,150,52.37496960705205,4.898844426998336
"Romantic houseboat in Jordaan, private room.",Centrum-West,2,Bed and breakfast,Private room,1.0,0.0,1.0,90,52.380373322653654,4.880206599315086
"Center, Large&Sunny Room,Pvt Bathrm",Centrum-West,2,Apartment,Private room,1.0,1.0,1.0,150,52.37614418117013,4.898936685217519
cosy bedroom | garden | near center | breakfast,Watergraafsmeer,2,House,Private room,1.0,1.0,1.0,95,52.352505914635245,4.943384214796724
Cozy & large bohemian style room ,Oud-Oost,2,Apartment,Private room,1.0,1.0,1.0,89,52.352786473399526,4.912563881379626
Sunny Apartment along river IJ,Oud-Noord,2,Apartment,Private room,1.0,1.0,1.0,105,52.38170518097546,4.91440092191971
Volledig huis-apartement,Oud-Noord,3,House,Entire home/apt,1.0,2.0,3.0,74,52.38744099692565,4.909601962312537
Amsterdam Center -entire apartment,Centrum-Oost,4,Apartment,Entire home/apt,1.0,1.0,1.0,175,52.362943800075655,4.909439787170198
Ground floor Family home & garden,De Baarsjes - Oud-West,3,Townhouse,Entire home/apt,1.0,2.0,3.0,164,52.36627391376461,4.864991946686574
Lux apt +50m2 Roof Terrace @De Pijp,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,117,52.35755028092293,4.901441987906591
Nice big Room close to centre,Oud-Oost,1,Apartment,Private room,0.0,1.0,1.0,45,52.35668265041882,4.916947232348021
Cosy apartment in charming Jordaan,Centrum-West,4,Apartment,Entire home/apt,1.0,1.0,2.0,125,52.37154368698248,4.875964528610951
Sunny family flat in the Jordaan!,Centrum-West,5,Apartment,Entire home/apt,1.0,2.0,3.0,126,52.379971950216856,4.887070399875172
Smack dab middle of Amsterdam,Centrum-West,3,Apartment,Entire home/apt,1.0,1.0,1.0,155,52.370938776639,4.876535074104979
"SunShine, A Sunny Amsterdam Special",Centrum-Oost,4,Apartment,Entire home/apt,2.0,2.0,2.0,195,52.35955184862691,4.897903333119472
Unique waterfront canal apartment,Centrum-Oost,3,Apartment,Entire home/apt,2.0,2.0,2.0,130,52.37311831765251,4.9065281458072185
"SunFlower, A Sunny B&B + 2 Bicycles",Centrum-Oost,2,Bed and breakfast,Private room,1.0,1.0,1.0,90,52.35853173707146,4.8975109293473515
"Luxurious 17C Canal Villa Studio,  Free Parking",Oud-Noord,2,Apartment,Private room,2.0,1.0,2.0,135,52.3999228375966,4.920000147987165
Cozy Central Apartment Amsterdam,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,169,52.35901103004662,4.8643977976891035
*historic centre* *bright* *canal view* *jordaan*,Centrum-West,2,Apartment,Entire home/apt,1.0,0.0,1.0,200,52.37143337794846,4.876667139735057
40 m2 Appartment near Leidseplein ,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,52.366839537629346,4.8767584018742
Excellent Room-2 Centre Amsterdam,Centrum-Oost,2,Bed and breakfast,Private room,1.0,1.0,1.0,115,52.361762071894596,4.893214501045171
3 room apartment in popular Amsterdam Oost!,Oostelijk Havengebied - Indische Buurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,124,52.36439279170668,4.939439259273157
Comfy and cozy private apartment,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,111,52.36314066044941,4.8628437740077315
Ground floor apartment with patio in De Pijp,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,200,52.35718094757721,4.896541019086117
76m2 app near center&park&amstel,Oud-Oost,4,Apartment,Entire home/apt,2.0,2.0,2.0,107,52.35562205577938,4.915361669484475
Elegant Appartement Central Location.,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,1.0,2.0,169,52.357286096674464,4.901626908382143
Familyhome easy airport connection!,Zuid,4,Apartment,Entire home/apt,1.0,2.0,2.0,88,52.3491899761009,4.858891147328281
Studio in the centre of Amsterdam,Centrum-Oost,2,Apartment,Entire home/apt,1.0,0.0,1.0,80,52.37073252478772,4.928607658807339
Luxery apartment next to the Vondelpark,Zuid,4,Apartment,Entire home/apt,2.0,2.0,2.0,190,52.35157006940396,4.849302410206958
Lovely FAMILY house near Vondelpark,De Baarsjes - Oud-West,4,Loft,Entire home/apt,1.0,4.0,4.0,275,52.36181544971878,4.856987624920197
"95m2 app, 2-4 people, happy reviews",Centrum-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,175,52.3704158509066,4.889335098555673
Stay at 'Perfect appartement in the center' by the,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,140,52.36884439013096,4.906479868020015
cosy quiet studio  garden view C,Watergraafsmeer,2,Bed and breakfast,Private room,1.0,1.0,2.0,72,52.3566559259347,4.933655150598123
Amstel Nest - an urban retreat for two,Oud-Oost,2,House,Private room,1.0,1.0,1.0,96,52.35549014520654,4.9085239968759655
Spacious typical A'dam APT 120mtr,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,2.0,2.0,169,52.35711088030786,4.903913951254411
Very cute and comfy Jordaan apartment :),Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,129,52.3762616668596,4.8781816402362175
Cozy room at Magnolia,Oud-Oost,2,House,Private room,1.0,1.0,2.0,75,52.351351900423715,4.9177942864427
"City Centre/Canalzone, comfy, cozy and quiet room!",Centrum-Oost,2,Apartment,Private room,2.0,1.0,2.0,120,52.35989203954985,4.893966153096777
Sunny appartment in Westerpark,Westerpark,3,Apartment,Entire home/apt,1.0,1.0,1.0,100,52.37855001279298,4.87036896319253
★ STYLISH FAMILY HOME - CITY CENTER,De Baarsjes - Oud-West,4,Townhouse,Entire home/apt,2.0,4.0,4.0,245,52.365451615757415,4.875296384968482
Sunny Roof Top in Beautiful Area,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,150,52.362873802035686,4.9101519849131465
Comfortable apt. in city center,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,52.3663006202557,4.880362689046959
"Bright, newly renovated apartment in Center-East",Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,80,52.37021068428303,4.930074872762538
Fancy decorated little Tsarina  privéapartment,Centrum-Oost,4,Apartment,Entire home/apt,1.0,2.0,4.0,129,52.371015879048564,4.930616986250456
Amsterdam@ city centre & canal view,Centrum-Oost,4,Loft,Private room,1.0,1.0,2.0,170,52.36850150619426,4.896692850156722
"PEACEFUL HOME IN HISTORIC CENTRE, NEXT TO AMSTEL",Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,170,52.362482395341395,4.902040840800507
Lovely bright apt. heart Amsterdam,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,165,52.36594092995622,4.878068144957083
Pied a Terre in top located canal,Centrum-West,4,Apartment,Entire home/apt,1.0,2.0,4.0,190,52.370006922285384,4.8878736006932035
Cute place in Amsterdam Center,Centrum-Oost,2,Apartment,Entire home/apt,1.0,0.0,2.0,100,52.36430151718033,4.905423277688136
Freedom on the water!,Centrum-Oost,2,Boat,Entire home/apt,2.0,1.0,1.0,280,52.3721309699917,4.9037882171024245
Pent House Apartment Large Private Room!,De Pijp - Rivierenbuurt,2,Apartment,Private room,2.0,1.0,1.0,85,52.35397725203687,4.904327780949765
Studio @Houseboat-BEST VIEW@amstel,Oud-Oost,2,Boat,Entire home/apt,1.0,1.0,1.0,199,52.35466251384658,4.907630215719822
"Central Loft, Great Rooftop Terrace",Centrum-West,3,Loft,Entire home/apt,1.0,1.0,1.0,199,52.373928142075776,4.8779306825068565
CHARMING B&B IN AMSTERDAM JORDAN 1,Centrum-West,3,Apartment,Private room,1.0,1.0,2.0,100,52.371979491307535,4.875612251968058
Luxury apartment in the best area,Centrum-West,3,Apartment,Entire home/apt,1.0,1.0,2.0,225,52.37170239002863,4.877288495130244
CHARMING B&B IN AMSTERDAM JORDAN 2,Centrum-West,2,Apartment,Private room,1.0,1.0,1.0,55,52.37187604299336,4.876419661464853
Room in Jordaan Heart of Amsterdam,Centrum-West,2,Apartment,Private room,1.0,1.0,1.0,70,52.37914263423,4.884930466253877
